Link,Item,Colours,Price
https://www.underarmour.com.sg/en-sg/p/accessories-sport-gloves/unisex_ua_grippy_gloves/1370194.html?dwvar_1370194_color=001&start=84&breadCrumbLast=Now%20Trending,Unisex UA Grippy Gloves,1,45.0
https://www.underarmour.com.sg/en-sg/p/men-accessories-bags/ua_flex_waist_bag/1364190.html?dwvar_1364190_color=002&start=96&breadCrumbLast=Now%20Trending,UA Flex Waist Bag,5,45.0
https://www.underarmour.com.sg/en-sg/p/men-accessories-headwear/mens_ua_iso-chill_launch_run_hat/1361562.html?dwvar_1361562_color=001&start=96&breadCrumbLast=Now%20Trending,Men's UA Iso-Chill Launch Run Hat,5,39.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_performance_polo_textured/1342080.html?dwvar_1342080_color=100&start=96&breadCrumbLast=Now%20Trending,Men's UA Performance Polo Textured,9,79.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_recover_short_sleeve/1361756.html?dwvar_1361756_color=002&start=96&breadCrumbLast=Now%20Trending,Men's UA RECOVER™ Short Sleeve,1,89.0
https://www.underarmour.com.sg/en-sg/p/men-accessories-bags/ua_loudon_small_duffle_bag/1360463.html?dwvar_1360463_color=592&start=96&breadCrumbLast=Now%20Trending,UA Loudon Small Duffle Bag,1,45.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_armour_repeat_short_sleeve/1371264.html?dwvar_1371264_color=001&start=96&breadCrumbLast=Now%20Trending,Men's UA Armour Repeat Short Sleeve,2,29.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_tech_tank_2.0/1328704.html?dwvar_1328704_color=001&start=96&breadCrumbLast=Now%20Trending,Men's UA Tech™ Tank 2.0,6,35.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_heatgear_compression_printed_short_sleeve/1370324.html?dwvar_1370324_color=001&start=96&breadCrumbLast=Now%20Trending,Men's HeatGear® Compression Printed Short Sleeve,1,45.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-bottoms/mens_ua_launch_run_7_print_shorts/1361495.html?dwvar_1361495_color=177&start=96&breadCrumbLast=Now%20Trending,"Men's UA Launch Run 7"" Print Shorts",2,59.0
https://www.underarmour.com.sg/en-sg/p/men-footwear/unisex_project_rock_bsr_2_training_shoes/3025081.html?dwvar_3025081_color=001&start=96&breadCrumbLast=Now%20Trending,Unisex Project Rock BSR 2 Training Shoes,3,159.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-bottoms/mens_ua_baseline_woven_shorts/1370224.html?dwvar_1370224_color=001&start=96&breadCrumbLast=Now%20Trending,Men's UA Baseline Woven Shorts,3,55.0
https://www.underarmour.com.sg/en-sg/p/men-accessories-socks/unisex_ua_essential_6-pack_no_show_socks/1370542.html?dwvar_1370542_color=001&start=96&breadCrumbLast=Now%20Trending,Unisex UA Essential 6-Pack No Show Socks,6,29.0
https://www.underarmour.com.sg/en-sg/p/men-accessories-bags/ua_contain_shoe_bag/1364191.html?dwvar_1364191_color=002&start=108&breadCrumbLast=Now%20Trending,UA Contain Shoe Bag,3,35.0
https://www.underarmour.com.sg/en-sg/p/men-footwear/unisex_ua_alpha_slides/3025051.html?dwvar_3025051_color=001&start=108&breadCrumbLast=Now%20Trending,Unisex UA Alpha Slides,3,79.0
https://www.underarmour.com.sg/en-sg/p/men-accessories-headwear/mens_ua_golf96_visor/1361548.html?dwvar_1361548_color=001&start=108&breadCrumbLast=Now%20Trending,Men's UA Golf96 Visor,2,29.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-bottoms/mens_ua_knit_woven_hybrid_shorts/1366167.html?dwvar_1366167_color=001&start=108&breadCrumbLast=Now%20Trending,Men's UA Knit Woven Hybrid Shorts,1,89.0
https://www.underarmour.com.sg/en-sg/p/men-footwear/mens_ua_charged_engage_training_shoes/3022616.html?dwvar_3022616_color=402&start=108&breadCrumbLast=Now%20Trending,Men's UA Charged Engage Training Shoes,1,99.0
https://www.underarmour.com.sg/en-sg/p/men-accessories-bags/ua_loudon_ripstop_crossbody/1364193.html?dwvar_1364193_color=001&start=108&breadCrumbLast=Now%20Trending,UA Loudon Ripstop Crossbody,3,45.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_team_issue_graphic_t-shirt/1370952.html?dwvar_1370952_color=001&start=108&breadCrumbLast=Now%20Trending,Men's UA Team Issue Graphic T-Shirt,2,25.0
https://www.underarmour.com.sg/en-sg/p/accessories-sport-gloves/mens_ua_training_gloves/1369826.html?dwvar_1369826_color=001&start=108&breadCrumbLast=Now%20Trending,Men's UA Training Gloves,3,39.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-bottoms/mens_ua_golazo_3.0_shorts/1369058.html?dwvar_1369058_color=410&start=108&breadCrumbLast=Now%20Trending,Men's UA Golazo 3.0 Shorts,2,23.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-bottoms/mens_curry_golf_2-in-1_shorts/1370154.html?dwvar_1370154_color=010&start=108&breadCrumbLast=Now%20Trending,Men's Curry Golf 2-in-1 Shorts,1,129.0
